店铺名称,纬度,经度,分类
巴比中华包点,32.02234,119.59595,美食
妆芝美全国连锁,32.02695,119.59783,其他
鲜果香精品水果,31.78848,119.70062,水果
丹阳市皇塘镇德琼麻辣烫店,31.79481,119.70032,美食
小尹水果,32.00452,119.57528,水果
国平水果行,32.0069,119.57047,水果
丹阳市云阳镇宏宏水果批发部,32.00404,119.57481,水果
姜家牛肉汤馆,32.06484,119.86226,美食
果歌果品店,32.07837,119.84276,水果
凯源鲜果超市,31.9742,119.5764,超市
有型美发,31.96869,119.58725,美发
Neil尼尔阿牛美发工作室,32.07866,119.83738,美发
敏小姐果铺,32.08244,119.83755,水果
宠车日志,32.0808,119.83253,其他
去皮烤红薯,31.98936,119.57343,美食
丹阳市云阳镇泽辰家电经营部,31.98728,119.57556,其他
蓓佩烟酒,31.93207,119.58216,超市
一杯奶茶店,31.82329,119.77702,美食
丹阳市唐氏烟酒,31.97703,119.57538,超市
丹阳市洁圣宝,32.0024,119.55411,美食
音浪汽车用品经营部,31.99189,119.59646,其他
朗朗炒货店,31.99115,119.5797,美食
徐记金大栗,31.99176,119.57951,美食
丹阳市珥陵镇翟记果品商行,31.87475,119.59922,水果
湖南烧酒坊,31.87538,119.59547,美食
万联超市,31.98182,119.58595,超市
馥菜悦酒家,32.01164,119.60452,美食
云阳镇笪苏荣水果批发部,32.00404,119.57481,水果
美仙精品水果,32.00404,119.57481,水果
王氏鲜面店,31.98958,119.58896,其他
我家面馆,32.06475,119.82429,美食
张二姐水果店,32.06818,119.8158,水果
小海超市,32.07467,119.6622,超市
中国移动,31.94784,119.6576,其他
阿英面馆,31.9956,119.57787,美食
丽都造型,31.99769,119.60091,美发
停留咖啡店,31.98732,119.58436,美食
百味香鲜果,32.01449,119.59638,水果
镇方记锅盖面,32.11607,119.70901,美食
沙县小吃,32.12373,119.72276,美食
淮南牛肉汤,32.11509,119.70808,美食
丹阳市访仙镇缪斯理发店,32.00034,119.73904,美发
访仙车之友汽车美容养护中心,31.99625,119.74246,其他
上古面工坊,32.00148,119.74012,美食
好又来生鲜超市,32.00204,119.57089,超市
云阳镇亿达食品贸易商行,31.91983,119.59344,其他
巷里理发造型,31.99451,119.56411,美发
好旺角美食,31.99233,119.56985,美食
鑫佳苑烟酒经营部,32.08025,119.76743,超市
丹阳市丹北镇聚鑫烟酒商行,32.08965,119.7725,超市
丹阳市丹北镇馨竹烟酒店,32.0895,119.7699,超市
程华日用品经营部,31.83735,119.64039,其他
皇朝美发店,31.83619,119.69468,美发
信盟超市,31.83619,119.69468,超市
丹阳市司徒镇琴掌柜砂锅店,32.00182,119.50269,美食
司徒镇优美滋食品店,32.00197,119.50207,美食
水漫锅盖镇江锅盖面,31.99375,119.60353,美食
曦典理发店,31.96996,119.58325,美发
苹果王水果店,31.98957,119.60707,水果
鸿阳酒楼,31.9528,119.165033,美食
恩甜沙拉煎饼,31.9434,119.184609,美食
华尔乐超市,32.0538,119.305509,超市
咕噜小兵,32.0542,119.305953,美食
食尚味餐馆,32.0536,119.302539,美食
梵霆时尚造型,31.9381,119.157103,美发
休闲吧餐饮,31.8025,119.028169,美食
句容市郭庄镇潘余平卤菜店,31.8111,119.034803,美食
荣胜超市,31.8058,119.184869,超市
句容市后白镇天爱桥烧烤店,31.8082,119.186828,美食
小杨镇江锅盖面,31.8085,119.186454,美食
陕南土家餐馆,31.745,119.209738,美食
吴文海批发,31.7418,119.211139,超市
茅山味道农家菜馆,31.7858,119.302059,美食
和平商店,32.1421,119.044319,超市
四季鲜果业,31.9526,119.166059,水果
句容古彭七只羊烧烤店,31.953,119.170759,美食
迎霞干挑面,31.9521,119.165049,美食
有福小笼包,31.9525,119.158288,美食
海峰杂货店,31.9419,119.155593,超市
来一点炸鸡,31.946,119.174619,美食
老郎水果批发,31.949,119.174978,水果
飘发型工作室,31.9419,119.169918,美发
榕城后厨,31.949,119.173903,美食
甄果鲜水果店,31.9511,119.180119,水果
四季鲜果业,31.9522,119.165679,水果
新桥超市,32.1688,119.191229,超市
徐大面馆,31.9612,119.180348,美食
沐禾造型,31.9544,119.176329,美发
百姓超市,32.0226,119.262885,超市
句容老玉家包子店,31.9413,119.175544,美食
传奇包子店,32.235518,119.823567,美食
扬中市城区心诚商店,32.219406,119.835829,超市
学才食品超市,32.108069,119.878679,超市
分金亭经营部,32.235506,119.823435,其他
莱茵宾馆,32.107197,119.879589,其他
为荣包子店,32.237434,119.830388,美食
烤面筋手工炸串,32.242649,119.831183,美食
石头水果批发,32.247368,119.809299,水果
湘艳饭店,32.240665,119.817909,美食
金家面馆,32.24521,119.812299,美食
中远超市NO.25,32.24043,119.826229,超市
一棵树餐饮店,32.221497,119.793069,美食
扬中市三茅镇五洲电器门市部,32.265155,119.803479,其他
扬中市爱珍食品店,32.236942,119.813429,美食
得月烟酒,32.175407,119.848489,超市
兰州拉面,32.176067,119.862489,美食
兴宏批发部,32.176212,119.850349,美发
漫霓湾饭店,32.232944,119.810103,美食
寒莹养生纤体,32.031456,119.917709,其他
兴化鞋城,32.258975,119.767779,其他
甜觅烘焙,32.218414,119.802898,美食
张嫂子镇江锅盖面,32.233176,119.824428,美食
美琴秦足匠修脚店,32.12664,119.848069,其他
张嫂子面馆,32.127956,119.847499,美食
镇江锅盖面,32.220633,119.794369,美食
紫瑶鲜果,32.15919,119.825938,水果
靓专业美发烫染长旺店,32.155099,119.822999,美发
扬中市巷往咖啡店,32.116413,119.894469,美食
重庆小面,32.230247,119.828733,美食
临沂炒鸡饺子馆,32.235555,119.823184,美食
金林批发超市,32.158115,119.773476,超市
春明超市,32.209698,119.738686,超市
富华烟酒,32.212897,119.743469,超市
山石咖啡,32.168659,119.672295,美食
柒吾七融合料理餐厅,32.175747,119.67173,美食
远东文具,32.186066,119.670799,其他
米轩煎饼,32.193848,119.509651,美食
品福居商店,32.186363,119.495232,超市
衣缘精品服饰,32.178055,119.505745,其他
香面园面馆,32.227913,119.65287,美食
小市口商店,32.227669,119.654831,超市
苹果树上的梨,32.184307,119.493889,美食
沂蒙菜馆,32.208282,119.47953,美食
柒柒酒吧,32.208202,119.453453,其他
港龙烟酒,32.186222,119.671219,超市
春雅美容养生,32.183056,119.495262,其他
镇西超市,32.158737,119.7742,超市
金合马超市,32.144547,119.69873,超市
呲又小酒馆,32.134697,119.703262,其他
丁卯昱缘食品经营部,32.17543,119.520401,其他
圣米兰门窗,32.175915,119.518272,其他
一姐绿豆汤,32.212835,119.456806,美食
鼎福轩面馆,32.197833,119.516703,美食
绿之苑果蔬直销,32.182762,119.479254,超市
成都米线馆,32.212685,119.456222,美食
润州区温馨餐饮店,32.213642,119.434555,美食
京口区加成小马卤菜店,32.211431,119.45937,美食
春熙谢茶,32.210556,119.455865,美食
立群酱鸭店,32.195673,119.475067,美食
自然香老鸭粉丝汤,32.20709,119.467988,美食
爆炒锅盖面润发面馆,32.197025,119.470336,美食
汤健早茶,32.222489,119.481083,美食
多多水果超市,32.216518,119.476151,超市
施家羊汤馆,32.22111,119.474231,美食
阿鹰造型,32.201603,119.511917,美发
原味特色锅盖面,32.19707,119.527451,美食
花山湾禽蛋批发,32.216094,119.473749,其他
唐氏锅贴,32.211572,119.481662,美食
镇江市京口区恒知味面馆,32.211232,119.490975,美食
京口区尹记尹大昌食品店,32.213884,119.484029,美食
京口区古月美发店,32.216347,119.453603,美发
镇江市润州区罗记面馆,32.203289,119.416606,美食
田螺姑娘,32.204046,119.468039,美食
润疆情·新疆名优农特产品展馆,32.204429,119.475055,其他
杨家清真牛肉,32.213818,119.48394,其他
法朗烘焙店,32.208478,119.445411,美食
筷上鲜面馆,32.204362,119.399668,美食
卡途汽车生活馆,32.14793,119.36606,其他
京口区亮特优百货商行,32.209717,119.480827,其他
臻妍荟护肤中心,32.164051,119.421692,其他
华仔排挡餐饮店,32.208073,119.38343,美食
鑫隆大酒店,32.21912,119.42447,美食
邵顺兴面馆,32.212822,119.414131,美食
老孙烧烤,32.191639,119.435249,美食
小俞儿私房菜馆,32.205517,119.417462,美食
小龚龙虾螃蟹专卖,32.205193,119.419121,美食
皇甫便利店,32.194321,119.41452,超市
恩施宋鸭子,32.193317,119.517311,美食
安庆馄饨,32.190151,119.465546,美食
馋嘴喵鸡汤昌菜冒烤鸭,32.201691,119.4524,美食
一品农庄,32.190838,119.462486,其他
阿亮造型,32.1684,119.414696,美发
黄焖鸡米饭,32.18895,119.412331,美食
重庆烧鸡公,32.197208,119.4114,美食
贝塔芙,32.186096,119.480431,美食
润州区绿客中式餐饮店,32.183601,119.445358,美食
小朱盐水鹅,32.191677,119.41256,美食
润州区好亿家超市,32.180981,119.403046,超市
南希洗车房,32.17032,119.40917,其他
国安超市,32.206926,119.442435,超市
山林包子店,32.206659,119.44269,美食
桂桂茶,32.195805,119.437599,美食
酷发艺,32.206625,119.442546,美发
乔老板吃货铺,32.205978,119.450508,美食
崇尚优品,32.195713,119.436462,其他
丹徒区高资天定生态农业园,32.13369,119.328682,其他
想吃就吃,32.11637,119.563673,美食
新彩美食生活超市,32.094081,119.616324,超市
向前私房菜,32.108986,119.485919,美食
丹徒区辛丰大发草莓园,32.105289,119.501859,其他
苗王老鹅汤上党店,32.068356,119.412669,美食
九分堡小吃店,32.07147,119.412039,美食
见茶山茶咖馆,32.0688,119.357519,美食
宝堰镇窦国建面馆,31.917142,119.367297,美食
小张烧烤,31.917488,119.364449,美食
喜适[自然而然],32.223232,119.469219,其他
丹徒区新城南山郡农庄,32.10566,119.432149,其他
亿笼包子,32.132779,119.426368,美食
小龙女肉店,32.20656,119.457569,其他
润州区无事啡啡咖啡店,32.189365,119.418959,美食
知音茶社,32.16496,119.425058,其他
好幸福零食,32.17172,119.412759,美食
